Community District,Name,Indicator Category,Indicator,Indicator Description,Y2000,Y2006,Y2010,Y2016,Y2017,Y2000.Rank,Y2006.Rank,Y2010.Rank,Y16.17.Rank
BK 01,Greenpoint/Williamsburg,Demographics,Born in New York State,The percentage of city residents who were born in New York State.,NA,50.8%,52.0%,51.3%,NA,NA,22,18,18
BK 01,Greenpoint/Williamsburg,Demographics,Disabled population,"The percentage of the adult population who have disabilities that impair hearing, vision, ambulation, cognition, self-care, or independent living.",NA,NA,5.0%,7.1%,NA,NA,NA,46,30
BK 01,Greenpoint/Williamsburg,Demographics,Foreign-born population,The share of the population that is born outside the United States or Puerto Rico.,33.5%,29.1%,25.8%,21.6%,NA,32,37,42,50
BK 01,Greenpoint/Williamsburg,Demographics,Households with children under 18 years old,The percentage of households living with children under 18.,35.0%,24.2%,25.2%,22.7%,NA,32,47,43,46
BK 01,Greenpoint/Williamsburg,Demographics,Income diversity ratio,"The income earned by the 80th percentile household divided by the income earned by the 20th percentile household for a given geographic area, excluding all households without positive income.",NA,7.0,6.5,6.2,NA,NA,6,9,17
BK 01,Greenpoint/Williamsburg,Demographics,Labor force participation rate,"The number of people aged 16 years and older who are in the civilian labor force, divided by the total number of non-institutionalized people aged 16 years and older.",NA,57.7%,66.3%,68.9%,NA,NA,41,16,10
BK 01,Greenpoint/Williamsburg,Demographics,Median household income ($2017),The median household's total income of all members of the household aged 15 years or older.,"$39,535","$39,307","$46,686","$71,054",NA,45,42,34,16
BK 01,Greenpoint/Williamsburg,Demographics,"Median household income, homeowners ($2017)",The median owner-occupied household's total income of all members of the household aged 15 years or older.,NA,"$62,251","$80,652","$118,220",NA,NA,50,30,10
BK 01,Greenpoint/Williamsburg,Demographics,"Median household income, renters ($2017)",The median renter household's total income of all members of the household aged 15 years or older.,NA,"$34,961","$41,343","$62,466",NA,NA,39,24,10
BK 01,Greenpoint/Williamsburg,Demographics,Percent Asian,The percentage of the total population that identifies as Asian (non-Hispanic).,3.9%,5.2%,5.2%,6.4%,NA,35,37,35,34
BK 01,Greenpoint/Williamsburg,Demographics,Percent black,The percentage of the total population that identifies as black (non-Hispanic).,4.0%,2.3%,2.6%,3.8%,NA,40,49,42,41
BK 01,Greenpoint/Williamsburg,Demographics,Percent Hispanic,The percentage of the total population that identifies as Hispanic (of any race).,34.1%,26.8%,30.0%,23.5%,NA,19,21,20,26
BK 01,Greenpoint/Williamsburg,Demographics,Percent white,The percentage of the total population that identifies as white (non-Hispanic).,52.5%,64.0%,60.7%,64.5%,NA,17,10,11,8
BK 01,Greenpoint/Williamsburg,Demographics,Population,"All people, both children and adults, living in a given geographic area.","142,098","141,513","146,253","166,361",NA,NA,NA,NA,NA
BK 01,Greenpoint/Williamsburg,Demographics,Population aged 25+ with a bachelor's degree or higher,The percentage of the population aged 25 and older who have attained a bachelor's degree or higher.,18.4%,29.5%,37.3%,47.7%,NA,34,22,14,9
BK 01,Greenpoint/Williamsburg,Demographics,Population aged 25+ without a high school diploma,The percentage of the population aged 25 and older who have not graduated from high school or received a GED.,NA,32.7%,21.1%,16.7%,NA,NA,10,25,32
BK 01,Greenpoint/Williamsburg,Demographics,Population aged 65+,The percentage of residents who are aged 65 years and older.,9.9%,12.5%,9.1%,9.2%,NA,35,20,46,52
BK 01,Greenpoint/Williamsburg,Demographics,Poverty rate,The number of people below the poverty threshold divided by the number of people for whom poverty status was determined.,33.8%,35.2%,26.5%,20.9%,NA,11,8,16,23
BK 01,Greenpoint/Williamsburg,Demographics,"Poverty rate, population aged 65+",The number of people aged 65 or older below the poverty line divided by the total population of that age group for whom poverty status was determined.,NA,26.5%,28.7%,26.0%,NA,NA,15,9,14
BK 01,Greenpoint/Williamsburg,Demographics,"Poverty rate, population under 18 years old",The number of people under 18 years old below the poverty line divided by the total population of that age group for whom poverty status was determined.,NA,58.2%,40.9%,35.0%,NA,NA,1,13,16
BK 01,Greenpoint/Williamsburg,Demographics,Racial diversity index,The probability that two randomly chosen people in a given geographic area will be of a different race.,0.61,0.52,0.54,0.52,NA,21,32,34,37
BK 01,Greenpoint/Williamsburg,Demographics,Single-person households,The share of households that include only one person.,NA,35.0%,31.3%,31.0%,NA,NA,14,22,24
BK 01,Greenpoint/Williamsburg,Demographics,Unemployment rate,"The number of people aged 16 years and older in the civilian labor force who are unemployed, divided by the total number of people aged 16 years and older in the civilian labor force.",9.77%,6.13%,8.22%,6.08%,NA,26,39,47,33
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,FHA/VA-backed home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied home, condominium, or cooperative apartment that were insured or guaranteed by the FHA or VA, as reported by HMDA.",NA,0.0%,17.3%,0.0%,NA,NA,31,28,44
BK 01,Greenpoint/Williamsburg,Housing Market and Conditions,Higher-cost home purchase loans (% of home purchase loans),"The percentage of all first-lien loan originations, for the purchase of an owner-occupied 1-4 family home, that were reported as 'higher cost' under HMDA.",NA,3.8%,0.4%,0.5%,NA,NA,46,43,43
