recordtype,borough,X_d12,X_d3,X_d4,X_d5,X_d6,X_e1,X_e2,X_e3,X_e4,X_e5,X_f1,X_f2,X_f3,X_f4,X_f5,X_f6,X_g12,X_g3,X_g4,X_g5,X_g6,X_h,X_i,X_j1,X_j2,X_j3,Sex,Age,X_1e,X_1f,X_2,X_3,X_4a,X_5,X_6,PlaceofBirth,X_7b,X_7c,X_8,X_9a,X_9c,X_10a,X_10b,X_11b,X_11c,X_12b,X_12b2,X_13,X_14,X_15b,X_15c,X_18a,X_19a,X_20,X_21,X_22a,X_23a,X_23b,X_23c,X_24a,X_24b,X_25a,X_25c,X_26a,X_26c,X_27,X_28a1,X_28a2,X_28b1,X_28b2,X_28c,X_28d1,X_28d2,X_28e1,X_28e2,X_30a,X_29,X_31a1,X_31a12,X_31b,X_32a,X_32b,X_34,X_33,X_35a,X_35b,X_35c,X_36a,X_36b,X_37a,X_37b,X_38a,X_39,Welfare,X_52a,X_52b,Health,X_54b,X_53b1,X_53b2,X_53b3,X_53b4,X_53b5,X_55a,X_55b,X_55c,X_55d,X_55e,X_56a,X_56b,X_56c,X_57a,X_57b,X_58,csrr,scr,tsc,ybr,hcr,npr,mgrent,hhinc,hhiwages,hhincf,hhiint,hhiss,hhincdis,hhissi,hhincva,sub,under6,under18,hhweight,seqn,FW1,FW2,FW3,FW4,FW5,FW6,FW7,FW8,FW9,FW10,FW11,FW12,FW13,FW14,FW15,FW16,FW17,FW18,FW19,FW20,FW21,FW22,FW23,FW24,FW25,FW26,FW27,FW28,FW29,FW30,FW31,FW32,FW33,FW34,FW35,FW36,FW37,FW38,FW39,FW40,FW41,FW42,FW43,FW44,FW45,FW46,FW47,FW48,FW49,FW50,FW51,FW52,FW53,FW54,FW55,FW56,FW57,FW58,FW59,FW60,FW61,FW62,FW63,FW64,FW65,FW66,FW67,FW68,FW69,FW70,FW71,FW72,FW73,FW74,FW75,FW76,FW77,FW78,FW79,FW80,IL30PER,IL50PER,IL80PER,year,sba,geo_id2,sba.name,Evicted.Displaced,race.ethnicity,postpone.health,service.interruptions
1,1,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,2,2,2,2,2,Female,35-44,Yes,White,1,4,2015,2,Wanted to own residence,PR,10,10,1,9,2,9,9,9,9,9999999,9,9999999,9,9999,9999,9,9,3,1,1,2,9,2,4,3,1,2,1,1,3,1,57,1,95,9999,2,9999,3,99999,1075,6,1,1,85,1,9,2,2,2,1,4,2,2,1,9,2,1,Yes,1,3,Poor,2,No,No,No,No,No,No,No,No,No,No,3,4,4,9,9999,1979,80,12,16,2,Femalew.AdultsKids,4,1227,"10,000 - 24,999",9999999,9999999,9999999,9999999,9999999,21372,9999999,1,1,Yes,24577110,836735,24577110,24031592,7029031,23436272,43609280,7919871,24273862,38619072,25467778,6864471,23041874,23612804,23086424,46575916,7196560,39729248,25028874,7349460,41361060,8035723,24074304,25389554,22776688,25927172,26785300,35536880,6973755,24933912,41139108,25633712,24372972,23413328,7478061,25740150,33272360,24581494,31606214,7350301,38014432,7548282,42815808,7195914,39988632,6607635,41593880,7945462,20160760,25349276,42627120,22785532,6557534,33873560,23037454,25433686,39325724,22962020,8374491,37491288,28670412,23401278,23909202,23746124,25954628,6325609,42475156,7523679,25047548,42071448,6953897,40005152,24913320,26928284,21216560,8270628,23614216,42797336,19594332,8525261,36330660,28940264,27200,45300,72500,2017,101,3603710,Mott Haven / Hunts Point,No,Hispanic,No,No
1,1,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,2,2,2,2,2,Female,45-54,No,Black,2,4,2016,2,Wanted better quality housing,US,9,9,1,9,2,9,9,9,9,9999999,9,9999999,9,9999,9999,9,9,5,2,2,2,9,2,6,5,1,2,1,1,3,1,200,2,9999,9999,2,9999,3,99999,1600,2,1,1,800,0,5,3,1,1,4,4,2,1,0,3,2,3,Yes,2,4,Good,2,No,No,No,No,No,No,No,No,No,No,4,1,3,9,9999,9999,80,1,16,9,Femalew.AdultsKids,4,1800,"10,000 - 24,999",10000,9999999,9999999,9999999,9999999,50,9999999,1,1,Yes,24705536,464851,24705536,25611772,6910130,42507272,24577764,27650824,7095823,24874478,38232776,8099554,23854414,43482664,27592764,7358114,24666020,22409092,27832152,37367516,7434120,43565820,22612648,8437798,42878344,7218544,23209020,30571928,22862250,23768450,23708428,49122028,7295428,23733100,44760852,24474200,23669248,23251580,7625879,28037320,35378968,26852722,26348676,7435784,37045364,7541630,43109528,6235185,49116216,8112194,40911676,7382541,26988168,21055404,42197976,24798160,7361148,24409368,25034488,26749936,36503880,26125096,7606055,45307396,23775072,26213912,24782926,23385270,26874104,6957718,42376448,7642831,23708436,40832988,8465242,38915520,26093538,21804500,26345496,6557403,29329330,39833848,27200,45300,72500,2017,101,3603710,Mott Haven / Hunts Point,No,Black,No,No
1,1,9,9,9,1,9,9,9,9,1,9,9,1,9,9,9,9,9,9,9,1,9,2,2,2,4,2,Female,35-44,No,Black,1,3,2015,2,Needed Larger House or Apartment,US,9,9,1,9,2,9,9,9,9,9999999,9,9999999,9,9999,9999,9,9,5,2,2,2,9,2,1,1,1,2,1,1,3,1,75,1,25,9999,2,9999,3,99999,1300,2,2,2,1300,1,9,2,2,2,1,2,2,2,1,9,2,2,No,2,2,Good,2,No,No,No,No,No,No,No,No,No,No,3,4,4,9,9999,9999,80,5,16,9,SoleFemale,1,1400,"25,000 - 39,999",43000,9999999,9999999,9999999,9999999,9999999,9999999,1,1,No,20353966,279115,20353966,37175936,18499018,7261213,32463860,20121918,19674730,6535682,20713534,33359458,6124415,20975824,30784836,19296528,6133946,23241620,19822766,18434428,33857632,5781946,35206392,22180360,6161722,36738688,5411655,21290706,21482532,19273824,19395480,20968520,38454640,5838547,19129012,37930268,16786610,22421282,20138808,6588114,20037124,31705626,22814248,18485004,7754922,30823488,5965483,31991988,6773028,39279520,5284669,38567616,5102817,23275628,18839484,35549516,21294228,5765324,19896148,19905172,19362240,36568728,21712920,6254025,29172852,24079476,18051468,21358974,23733540,19662694,6024652,31875018,6472499,18805826,36658100,5753999,33715748,21475756,22468550,19895204,6095987,18125036,19050,31750,50750,2017,101,3603710,Mott Haven / Hunts Point,No,Black,No,No
1,1,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,2,2,2,4,2,Female,25-34,Yes,White,1,3,2015,2,Other Family Reason,US,10,7,2,9,2,2,3,9,9,9999999,9,9999999,9,9999,9999,9,9,5,1,2,2,9,2,2,2,1,2,1,1,2,1,85,1,35,9999,2,9999,3,99999,1100,2,2,2,1100,1,9,2,2,1,1,4,2,2,1,9,2,3,No,2,2,Excellent,2,No,No,No,No,No,No,No,No,No,No,1,5,5,9,9999,9999,80,5,16,7,Femalew.Kids,3,1220,"40,000 - 54,999",40000,9999999,9999999,9999999,9999999,9999999,9999999,1,2,Yes,22069776,597459,22069776,33265492,22859864,6982458,41839800,20810854,20464748,7059696,22197148,32530192,7380210,21604760,35067720,27782058,6213971,18370962,25429098,20632404,36401976,6904411,35091972,24866508,6922527,34556556,6882783,21889428,21586956,20867344,22518828,25400828,38104952,6200899,19981448,37315768,24751496,21051620,23537362,6819951,24361388,35186832,21142100,21910992,6644320,36147936,5753284,44350692,6024838,37264488,6515948,38303608,6914902,21361954,25256536,34784624,18561894,7467881,22033224,21210324,25022732,37993760,21205264,7287731,32614554,23240532,22873870,22195240,21681056,23278866,6762342,41051296,6029297,21900872,37780288,6117274,38092420,25429286,17644108,24596714,5982107,25928634,24500,40800,65250,2017,101,3603710,Mott Haven / Hunts Point,No,Hispanic,No,No
1,1,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,2,2,2,2,2,Female,35-44,No,Black,2,3,2017,2,Other housing reason,US,9,7,1,9,2,9,9,9,9,9999999,9,9999999,9,9999,9999,9,9,5,1,2,2,9,2,5,4,1,2,1,1,2,1,85,1,35,9999,2,9999,3,99999,2530,2,1,1,1289,1,9,3,2,1,1,4,2,2,1,9,2,3,Yes,2,4,VG,2,No,No,No,No,No,No,No,No,No,No,5,1,1,9,9999,9999,80,3,16,1,Marriedw.AdultsKids,9,2650,"25,000 - 39,999",80000,9999999,9999999,9999999,9999999,1200,9999999,1,4,Yes,24101404,814958,24101404,23846452,39394036,39813204,24911810,44406264,41170768,38520900,24013760,23519094,38289760,23773182,22310880,45474356,41168680,24137330,23893848,23930846,24458474,44161480,23581736,43048416,37183156,25561776,45708928,20080160,23580524,23896932,24733696,24730510,23864000,39153040,24727308,26168408,31914016,40470544,52469364,42678456,21815306,24594866,41915480,41067256,40029700,22408092,41902660,26435310,34711228,24437630,42010192,22274290,37860412,31943474,22419704,24853416,38418868,38369248,28310744,21921696,26908650,23293108,40704504,39983700,25368148,37122816,39288828,44214552,42680356,39383152,40101500,22581328,41741316,25415908,21204176,47718576,22894404,43854984,32979398,48088604,37602300,27029150,99999,99999,99999,2017,101,3603710,Mott Haven / Hunts Point,No,Black,No,No
1,1,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,2,8,2,2,2,Female,35-44,Yes,White,1,3,2016,2,"Widowed, Divorced, Deceased",US,10,10,1,9,2,9,9,9,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,1,2,2,3,2,1,2,1,1,1,1,100,1,25,9999,2,9999,2,99999,1003,2,1,2,99998,8,8,2,8,8,8,8,8,8,8,8,8,8,Yes,8,8,NotReported,8,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,8,8,8,9,9999,9999,30,2,16,8,Femalew.Kids,4,1128,"40,000 - 54,999",28080,9999999,9999999,9999999,9999999,9999999,7000,1,3,Yes,23210692,64378,23210692,7149888,21840844,40338296,22475664,7719953,38116588,23188684,20927888,7612085,23639940,40937772,7747016,22186612,40743000,21206064,7715831,19957704,24835932,21376316,37242888,7622321,41370468,22827354,6601329,47023316,6559622,21708828,23481804,26311830,22028778,23017670,40769584,6818747,22236268,36679200,24499964,24815400,20603700,7367256,22930596,39621016,22007288,23107560,7253067,34422200,7229804,47379788,6092272,43868504,7197897,33740920,7024088,22344824,22480128,39187832,23120350,7591024,20893716,23338216,25574364,44524560,21501144,7467522,39208732,20883762,25490664,22712248,22315698,23691838,6511356,38680960,7836529,21489316,38507488,6422312,40213768,21973846,26485404,21521984,27200,45300,72500,2017,101,3603710,Mott Haven / Hunts Point,No,Hispanic,No,No
1,1,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,2,2,2,4,2,Male,<25,Yes,Black,1,3,2016,2,Needed Larger House or Apartment,OutsideUS,14,14,1,9,2,9,9,9,9,9999999,9,9999999,9,9999,9999,9,9,8,2,3,2,9,2,5,4,1,2,1,1,2,1,110,1,120,9999,2,9999,3,99999,1800,2,2,2,1800,1,9,2,2,2,1,1,2,2,1,9,2,3,No,2,4,Excellent,2,No,No,No,No,No,No,No,No,No,No,3,3,3,1,2000,2000,80,3,16,1,Marriedw.AdultsKids,4,2030,"25,000 - 39,999",87000,9999999,9999999,9999999,9999999,9999999,9999999,1,2,Yes,26775624,540104,26775624,28617358,8521994,24383784,41685240,27734976,8488156,40249760,27880392,27740440,7467239,25978986,48643784,7644672,30957846,41933592,23604236,9198184,30690748,25275770,28894016,42927888,8036273,49675588,25218420,7288637,46571292,7582460,26577628,25735800,28368984,28623008,26850792,43666908,8077670,29075230,47065272,22716376,26928548,30898380,6671134,29881888,44318616,24527462,29658836,7609776,44586988,7852832,46592304,8061012,41235544,8748278,43279524,7809802,23124734,30293474,43287352,33679932,9156061,19821684,29120498,26930904,48213656,23436964,9175406,40282664,28452048,23248020,33875284,24791050,32339302,7181633,48897568,7309056,27922528,52180020,7291242,41793340,32691540,21300122,27200,45300,72500,2017,101,3603710,Mott Haven / Hunts Point,No,Hispanic,No,No
1,1,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,2,2,2,4,2,Male,35-44,Yes,White,1,3,2015,2,Needed Larger House or Apartment,US,10,10,1,9,2,9,9,9,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,2,9,2,3,3,1,2,1,1,1,1,210,2,9999,9999,2,9999,2,99999,1625,4,2,2,1625,8,8,8,8,8,8,8,8,8,8,8,8,8,No,8,8,NotReported,8,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,8,8,8,9,9999,9999,30,2,16,9,Marriedw.KidsOnly,4,1835,"40,000 - 54,999",36400,9999999,9999999,9999999,9999999,9999999,9999999,1,1,Yes,24718220,561660,24718220,24205704,23389368,24799650,7314271,27132374,41569180,23203604,7494829,40126488,23701624,23650046,6526920,27809580,42100196,7135350,24263418,43074904,24730768,7951333,24897882,25333040,22923798,44025796,7853862,36351848,23570980,7431951,40919136,7510179,23526312,23822202,26172956,26214252,19824970,41813820,9369767,25528918,37169484,25612212,25615852,24410752,7088959,22168898,42807940,27394284,20090112,7434233,42878964,6734535,38848832,10010713,39482040,7499437,39416376,6838786,29093176,21995816,48873628,23630468,6956602,23759648,26039354,22091258,42087072,25257216,7553717,42639668,23998408,23233864,25213764,26550498,21876092,8344906,39830104,7511205,19517654,50351264,6175581,49637904,27200,45300,72500,2017,101,3603710,Mott Haven / Hunts Point,No,Hispanic,No,No
1,1,9,9,9,1,9,9,9,9,1,9,9,9,1,9,9,9,9,9,9,1,9,2,2,2,2,2,Female,25-34,No,Black,1,3,2014,2,Needed Larger House or Apartment,OutsideUS,25,25,1,9,2,9,9,9,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,1,2,2,2,2,1,1,2,1,2,2,9999,9,9999,95,2,9999,3,99999,1130,2,2,2,1130,0,5,3,1,1,1,1,1,2,1,9,2,4,Yes,2,2,Excellent,2,No,No,No,No,No,No,No,No,No,No,5,1,1,1,2003,2003,30,3,16,7,Femalew.Kids,2,1225,"10,000 - 24,999",15000,9999999,9999999,9999999,9999999,1400,9999999,1,2,Yes,24718220,990126,24718220,7089687,39928152,24799650,24972484,27132374,7132144,23203604,43683064,23505552,6942045,40373152,22284300,27809580,7223252,24361608,41420244,7390485,24730768,46343760,24897882,7419876,22923798,25789714,26814764,36351848,6903780,43316584,23969874,7510179,40161924,6977362,26172956,26214252,19824970,24493968,31990384,43580588,6377275,25612212,43728992,24410752,24203220,22168898,7344681,27394284,34295968,25382058,25117916,6734535,38848832,10010713,39482040,7499437,39416376,6838786,49665156,6442426,28629508,23630468,40546048,23759648,7626750,22091258,24654036,25257216,44026288,24977740,7028971,39662688,25213764,26550498,21876092,28491292,23331934,7511205,33318720,8638911,21084752,49637904,21800,36250,58000,2017,101,3603710,Mott Haven / Hunts Point,No,Black,No,No
1,1,9,9,9,1,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,2,1,2,4,2,Female,45-54,No,Black,1,3,2015,2,Other housing reason,US,9,7,1,9,2,9,9,9,9,9999999,9,9999999,9,9999,9999,9,9,6,2,1,2,9,2,3,2,1,2,1,1,3,2,9999,9,9999,160,2,9999,3,99999,1182,2,1,1,170,1,9,3,2,1,2,4,2,2,1,9,2,4,Yes,1,2,Poor,2,No,No,No,No,No,Yes,No,Yes,Yes,No,5,1,1,9,9999,9999,80,2,16,7,Femalew.Kids,2,1342,"less than 10,000",9999999,9999999,9999999,9999999,9999999,1200,9999999,1,1,Yes,19823920,759531,19823920,18496884,32480122,6123478,19192128,33534862,18847820,18517720,6120582,21797788,29037006,19881908,18440744,35379900,18845612,21575148,21973520,18343180,35105788,19878780,5599221,34906008,18986088,5680127,17048508,6335092,19641468,35785784,21378688,31687212,33348770,18976276,19639612,20600600,20242308,5986878,5120054,7037116,4943104,33046114,19521634,5489840,20374870,23714344,31689752,18352370,17575104,6632530,33701304,19514392,34659400,5756526,31927884,18441984,37801736,5809462,20314432,17527284,36839296,22165684,16573196,6800898,19879992,33395496,6153044,4764571,6480422,5763220,17552618,24048910,17501840,19280360,35467632,34168884,18135148,37873996,17449864,6388442,18667124,6404990,21800,36250,58000,2017,101,3603710,Mott Haven / Hunts Point,No,Black,No,Yes
