Landlord,Corporation,Number of Units,Number of HPD Violations,Number of DOB Violations,Tax Lien in Past Two Years,Number of Evictions,building
ERIC SILVERSTEIN,HILLSIDE HOUSE MGMT LLC,119,626,13,No,1,"87-40 165 STREET, QUEENS 11432"
ERIC SILVERSTEIN,TRIO REALTY ASSOCIATES LLC,120,321,10,No,1,"261 LENOX ROAD, BROOKLYN 11226"
ERIC SILVERSTEIN,250 PARKVILLE CO.,63,258,10,No,0,"250 PARKVILLE AVENUE, BROOKLYN 11230"
ERIC SILVERSTEIN,625 OCEAN COMPANY,54,244,10,No,0,"2005 ALBEMARLE ROAD, BROOKLYN 11226"
JEFFERY DUNSTON,PARK MONROE II LLC,16,150,0,No,0,"342 LAFAYETTE AVENUE, BROOKLYN 11238"
JEFFERY DUNSTON,THROOP COURT LP,53,150,19,No,0,"378 THROOP AVENUE, BROOKLYN 11221"
JEFFERY DUNSTON,HUNTERFLY LP,8,145,0,No,3,"315 PULASKI STREET, BROOKLYN 11206"
JEFFERY DUNSTON,PARK MONROE II LLC,37,109,0,No,0,"1939 PARK PLACE, BROOKLYN 11233"
JEFFERY DUNSTON,WILLOUGHBY TOMPKINS LP,20,107,0,No,2,"150 TOMPKINS AVENUE, BROOKLYN 11206"
JEFFERY DUNSTON,NEB LP,20,105,1,No,0,"100 PULASKI STREET, BROOKLYN 11206"
JEFFERY DUNSTON,NORTHEAST BROOKLYN PARTNERSHIP,12,102,0,No,0,"399 KOSCIUSZKO STREET, BROOKLYN 11221"
JEFFERY DUNSTON,NEB LP,8,93,0,No,0,"749 LAFAYETTE AVENUE, BROOKLYN 11221"
JEFFERY DUNSTON,NORTHEAST BROOKLYN PARTNERSHIP,13,81,0,No,0,"403 KOSCIUSZKO STREET, BROOKLYN 11221"
JEFFERY DUNSTON,BROADWAY PUTNAM LP,6,68,1,No,0,"1001 PUTNAM AVENUE, BROOKLYN 11221"
JEFFERY DUNSTON,WILLOUGHBY TOMPKINGS LIMITED,9,64,0,No,1,"607 WILLOUGHBY AVENUE, BROOKLYN 11206"
JEFFERY DUNSTON,WILLOUGHBY TOMPKINS LIMITED,9,55,0,Yes,0,"611 WILLOUGHBY AVENUE, BROOKLYN 11206"
JEFFERY DUNSTON,"HUNTERFLY, LP",6,46,0,No,0,"540 KOSCIUSZKO STREET, BROOKLYN 11221"
JEFFERY DUNSTON,HUNTERFLY LP,8,35,0,No,0,"22 STUYVESANT AVENUE, BROOKLYN 11221"
JEFFERY DUNSTON,NEB LP,6,35,4,No,0,"98 PULASKI STREET, BROOKLYN 11206"
DEBBIE VASQUEZ,ACROPOLIS GARDENS,39,214,4,No,0,"21-16 35 STREET, QUEENS 11105"
DEBBIE VASQUEZ,ACROPOLIS GARDENS,39,144,4,No,1,"21-47 33 STREET, QUEENS 11105"
DEBBIE VASQUEZ,ACROPOLIS GARDENS,39,130,4,No,0,"21-28 35 STREET, QUEENS 11105"
DEBBIE VASQUEZ,ACROPOLIS GARDENS,39,128,4,No,1,"21-06 35 STREET, QUEENS 11105"
DEBBIE VASQUEZ,ACROPOLIS GARDENS,39,128,10,No,0,"21-05 33 STREET, QUEENS 11105"
